Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Publications	Geo_Location	Country	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	Type	Group	date	strain
MH777204.2	Human papillomavirus	GenBank	set:MH777204		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_059	Human papillomavirus		Papillomaviridae	dsDNA	7214	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_059, complete genome	HPV_new	DOCK8	2014-03-15	MH777204_2|DOCK8|HPV_new|HPV-mSK_059|2014-03-15
MH777205.2	Human papillomavirus	GenBank	set:MH777205		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_060	Human papillomavirus		Papillomaviridae	dsDNA	7415	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_060, complete genome	HPV_new	DOCK8	2014-03-15	MH777205_2|DOCK8|HPV_new|HPV-mSK_060|2014-03-15
MH777206.2	Human papillomavirus	GenBank	set:MH777206		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_061	Human papillomavirus		Papillomaviridae	dsDNA	7328	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_061, complete genome	HPV_new	DOCK8	2014-03-15	MH777206_2|DOCK8|HPV_new|HPV-mSK_061|2014-03-15
MH777207.2	Human papillomavirus	GenBank	set:MH777207		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_062	Human papillomavirus		Papillomaviridae	dsDNA	7310	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_062, complete genome	HPV_new	DOCK8	2014-03-15	MH777207_2|DOCK8|HPV_new|HPV-mSK_062|2014-03-15
MH777208.2	Human papillomavirus	GenBank	set:MH777208		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_063	Human papillomavirus		Papillomaviridae	dsDNA	7272	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_063, complete genome	HPV_new	DOCK8	2014-03-15	MH777208_2|DOCK8|HPV_new|HPV-mSK_063|2014-03-15
MH777209.1	Human papillomavirus	GenBank	set:MH777209		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_064	Human papillomavirus		Papillomaviridae	dsDNA	7229	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_064, complete genome	HPV_new	DOCK8	2014-03-15	MH777209_1|DOCK8|HPV_new|HPV-mSK_064|2014-03-15
MH777210.1	Human papillomavirus	GenBank	set:MH777210		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_065	Human papillomavirus		Papillomaviridae	dsDNA	7186	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_065, complete genome	HPV_new	DOCK8	2014-03-15	MH777210_1|DOCK8|HPV_new|HPV-mSK_065|2014-03-15
MH777211.2	Human papillomavirus	GenBank	set:MH777211		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_066	Human papillomavirus		Papillomaviridae	dsDNA	7244	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_066, complete genome	HPV_new	DOCK8	2014-03-15	MH777211_2|DOCK8|HPV_new|HPV-mSK_066|2014-03-15
MH777212.2	Human papillomavirus	GenBank	set:MH777212		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_067	Human papillomavirus		Papillomaviridae	dsDNA	7294	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_067, complete genome	HPV_new	DOCK8	2014-03-15	MH777212_2|DOCK8|HPV_new|HPV-mSK_067|2014-03-15
MH777213.2	Human papillomavirus	GenBank	set:MH777213		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_068	Human papillomavirus		Papillomaviridae	dsDNA	7313	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_068, complete genome	HPV_new	DOCK8	2014-03-15	MH777213_2|DOCK8|HPV_new|HPV-mSK_068|2014-03-15
MH777214.2	Human papillomavirus	GenBank	set:MH777214		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_069	Human papillomavirus		Papillomaviridae	dsDNA	7414	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_069, complete genome	HPV_new	DOCK8	2014-03-15	MH777214_2|DOCK8|HPV_new|HPV-mSK_069|2014-03-15
MH777215.2	Human papillomavirus	GenBank	set:MH777215		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_070	Human papillomavirus		Papillomaviridae	dsDNA	7291	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_070, complete genome	HPV_new	DOCK8	2014-03-15	MH777215_2|DOCK8|HPV_new|HPV-mSK_070|2014-03-15
MH777216.2	Human papillomavirus	GenBank	set:MH777216		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_071	Human papillomavirus		Papillomaviridae	dsDNA	7167	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_071, complete genome	HPV_new	DOCK8	2014-03-15	MH777216_2|DOCK8|HPV_new|HPV-mSK_071|2014-03-15
MH777217.2	Human papillomavirus	GenBank	set:MH777217		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_072	Human papillomavirus		Papillomaviridae	dsDNA	7260	partial	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_072, partial genome	HPV_new	DOCK8	2014-03-15	MH777217_2|DOCK8|HPV_new|HPV-mSK_072|2014-03-15
MH777218.1	Human papillomavirus	GenBank	set:MH777218		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_074	Human papillomavirus		Papillomaviridae	dsDNA	7371	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_074, complete genome	HPV_new	DOCK8	2014-03-15	MH777218_1|DOCK8|HPV_new|HPV-mSK_074|2014-03-15
MH777219.2	Human papillomavirus	GenBank	set:MH777219		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_075	Human papillomavirus		Papillomaviridae	dsDNA	7349	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_075, complete genome	HPV_new	DOCK8	2014-03-15	MH777219_2|DOCK8|HPV_new|HPV-mSK_075|2014-03-15
MH777220.2	Human papillomavirus	GenBank	set:MH777220		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_076	Human papillomavirus		Papillomaviridae	dsDNA	7229	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_076, complete genome	HPV_new	DOCK8	2014-03-15	MH777220_2|DOCK8|HPV_new|HPV-mSK_076|2014-03-15
MH777221.2	Human papillomavirus	GenBank	set:MH777221		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_077	Human papillomavirus		Papillomaviridae	dsDNA	7221	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_077, complete genome	HPV_new	DOCK8	2014-03-15	MH777221_2|DOCK8|HPV_new|HPV-mSK_077|2014-03-15
MH777222.1	Human papillomavirus	GenBank	set:MH777222		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_078	Human papillomavirus		Papillomaviridae	dsDNA	7271	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_078, complete genome	HPV_new	DOCK8	2014-03-15	MH777222_1|DOCK8|HPV_new|HPV-mSK_078|2014-03-15
MH777223.2	Human papillomavirus	GenBank	set:MH777223		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_079	Human papillomavirus		Papillomaviridae	dsDNA	7383	partial	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_079, partial genome	HPV_new	DOCK8	2014-03-15	MH777223_2|DOCK8|HPV_new|HPV-mSK_079|2014-03-15
MH777224.2	Human papillomavirus	GenBank	set:MH777224		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_080	Human papillomavirus		Papillomaviridae	dsDNA	7372	partial	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_080, partial genome	HPV_new	DOCK8	2014-03-15	MH777224_2|DOCK8|HPV_new|HPV-mSK_080|2014-03-15
MH777225.2	Human papillomavirus	GenBank	set:MH777225		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_082	Human papillomavirus		Papillomaviridae	dsDNA	7419	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_082, complete genome	HPV_new	DOCK8	2014-03-15	MH777225_2|DOCK8|HPV_new|HPV-mSK_082|2014-03-15
MH777226.2	Human papillomavirus	GenBank	set:MH777226		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_083	Human papillomavirus		Papillomaviridae	dsDNA	7290	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_083, complete genome	HPV_new	DOCK8	2014-03-15	MH777226_2|DOCK8|HPV_new|HPV-mSK_083|2014-03-15
MH777227.1	Human papillomavirus	GenBank	set:MH777227		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_084	Human papillomavirus		Papillomaviridae	dsDNA	7262	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_084, complete genome	HPV_new	DOCK8	2014-03-15	MH777227_1|DOCK8|HPV_new|HPV-mSK_084|2014-03-15
MH777228.1	Human papillomavirus	GenBank	set:MH777228		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_085	Human papillomavirus		Papillomaviridae	dsDNA	7258	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_085, complete genome	HPV_new	DOCK8	2014-03-15	MH777228_1|DOCK8|HPV_new|HPV-mSK_085|2014-03-15
MH777229.2	Human papillomavirus	GenBank	set:MH777229		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_086	Human papillomavirus		Papillomaviridae	dsDNA	7306	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_086, complete genome	HPV_new	DOCK8	2014-03-15	MH777229_2|DOCK8|HPV_new|HPV-mSK_086|2014-03-15
MH777230.1	Human papillomavirus	GenBank	set:MH777230		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_087	Human papillomavirus		Papillomaviridae	dsDNA	7233	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_087, complete genome	HPV_new	DOCK8	2014-03-15	MH777230_1|DOCK8|HPV_new|HPV-mSK_087|2014-03-15
MH777231.2	Human papillomavirus	GenBank	set:MH777231		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_088	Human papillomavirus		Papillomaviridae	dsDNA	7142	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_088, complete genome	HPV_new	DOCK8	2014-03-15	MH777231_2|DOCK8|HPV_new|HPV-mSK_088|2014-03-15
MH777232.2	Human papillomavirus	GenBank	set:MH777232		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_089	Human papillomavirus		Papillomaviridae	dsDNA	7320	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_089, complete genome	HPV_new	DOCK8	2014-03-15	MH777232_2|DOCK8|HPV_new|HPV-mSK_089|2014-03-15
MH777233.2	Human papillomavirus	GenBank	set:MH777233		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_090	Human papillomavirus		Papillomaviridae	dsDNA	7308	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_090, complete genome	HPV_new	DOCK8	2014-03-15	MH777233_2|DOCK8|HPV_new|HPV-mSK_090|2014-03-15
MH777234.1	Human papillomavirus	GenBank	set:MH777234		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_091	Human papillomavirus		Papillomaviridae	dsDNA	7289	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_091, complete genome	HPV_new	DOCK8	2014-03-15	MH777234_1|DOCK8|HPV_new|HPV-mSK_091|2014-03-15
MH777235.2	Human papillomavirus	GenBank	set:MH777235		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_092	Human papillomavirus		Papillomaviridae	dsDNA	7288	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_092, complete genome	HPV_new	DOCK8	2014-03-15	MH777235_2|DOCK8|HPV_new|HPV-mSK_092|2014-03-15
MH777236.2	Human papillomavirus	GenBank	set:MH777236		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_093	Human papillomavirus		Papillomaviridae	dsDNA	7297	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_093, complete genome	HPV_new	DOCK8	2014-03-15	MH777236_2|DOCK8|HPV_new|HPV-mSK_093|2014-03-15
MH777237.2	Human papillomavirus	GenBank	set:MH777237		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_094	Human papillomavirus		Papillomaviridae	dsDNA	7276	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_094, complete genome	HPV_new	DOCK8	2014-03-15	MH777237_2|DOCK8|HPV_new|HPV-mSK_094|2014-03-15
MH777238.1	Human papillomavirus	GenBank	set:MH777238		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_095	Human papillomavirus		Papillomaviridae	dsDNA	7277	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_095, complete genome	HPV_new	DOCK8	2014-03-15	MH777238_1|DOCK8|HPV_new|HPV-mSK_095|2014-03-15
MH777239.1	Human papillomavirus	GenBank	set:MH777239		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_096	Human papillomavirus		Papillomaviridae	dsDNA	7255	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_096, complete genome	HPV_new	DOCK8	2014-03-15	MH777239_1|DOCK8|HPV_new|HPV-mSK_096|2014-03-15
MH777240.2	Human papillomavirus	GenBank	set:MH777240		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_097	Human papillomavirus		Papillomaviridae	dsDNA	7328	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_097, complete genome	HPV_new	DOCK8	2014-03-15	MH777240_2|DOCK8|HPV_new|HPV-mSK_097|2014-03-15
MH777241.1	Human papillomavirus	GenBank	set:MH777241		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_098	Human papillomavirus		Papillomaviridae	dsDNA	7253	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_098, complete genome	HPV_new	DOCK8	2014-03-15	MH777241_1|DOCK8|HPV_new|HPV-mSK_098|2014-03-15
MH777242.2	Human papillomavirus	GenBank	set:MH777242		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_099	Human papillomavirus		Papillomaviridae	dsDNA	7233	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_099, complete genome	HPV_new	DOCK8	2014-03-15	MH777242_2|DOCK8|HPV_new|HPV-mSK_099|2014-03-15
MH777243.2	Human papillomavirus	GenBank	set:MH777243		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_100	Human papillomavirus		Papillomaviridae	dsDNA	7218	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_100, complete genome	HPV_new	DOCK8	2014-03-15	MH777243_2|DOCK8|HPV_new|HPV-mSK_100|2014-03-15
MH777244.2	Human papillomavirus	GenBank	set:MH777244		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_102	Human papillomavirus		Papillomaviridae	dsDNA	7126	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_102, complete genome	HPV_new	DOCK8	2014-03-15	MH777244_2|DOCK8|HPV_new|HPV-mSK_102|2014-03-15
MH777245.2	Human papillomavirus	GenBank	set:MH777245		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_103	Human papillomavirus		Papillomaviridae	dsDNA	7140	partial	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_103, partial genome	HPV_new	DOCK8	2014-03-15	MH777245_2|DOCK8|HPV_new|HPV-mSK_103|2014-03-15
MH777246.2	Human papillomavirus	GenBank	set:MH777246		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_104	Human papillomavirus		Papillomaviridae	dsDNA	7284	partial	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_104, partial genome	HPV_new	DOCK8	2014-03-15	MH777246_2|DOCK8|HPV_new|HPV-mSK_104|2014-03-15
MH777247.2	Human papillomavirus	GenBank	set:MH777247		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_105	Human papillomavirus		Papillomaviridae	dsDNA	7209	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_105, complete genome	HPV_new	DOCK8	2014-03-15	MH777247_2|DOCK8|HPV_new|HPV-mSK_105|2014-03-15
MH777248.2	Human papillomavirus	GenBank	set:MH777248		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_106	Human papillomavirus		Papillomaviridae	dsDNA	7192	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_106, complete genome	HPV_new	DOCK8	2014-03-15	MH777248_2|DOCK8|HPV_new|HPV-mSK_106|2014-03-15
MH777249.1	Human papillomavirus	GenBank	set:MH777249		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_107	Human papillomavirus		Papillomaviridae	dsDNA	7260	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_107, complete genome	HPV_new	DOCK8	2014-03-15	MH777249_1|DOCK8|HPV_new|HPV-mSK_107|2014-03-15
MH777250.2	Human papillomavirus	GenBank	set:MH777250		Tirosh,O., Conlan,S., Deming,C., Lee-Lin,S.Q., Huang,X., Su,H.C., Freeman,A.F., Segre,J.A., Kong,H.H.	National Institutes of Health, National Human Genome Research Institute	USA	2018-09-26	HPV-mSK_108	Human papillomavirus		Papillomaviridae	dsDNA	7233	complete	NA	1	USA	USA	Homo sapiens	skin	2014-03		PRJNA471898	MAG: Human papillomavirus isolate HPV-mSK_108, complete genome	HPV_new	DOCK8	2014-03-15	MH777250_2|DOCK8|HPV_new|HPV-mSK_108|2014-03-15
